id,data,path,class,width,height,xmin,ymin,xmax,ymax,meta
351,TRAIN,images/285_a_co_dripstone.png,GOLD,640,360,204,165,285,271,
352,TRAIN,images/285_a_co_dripstone.png,COAL,640,360,405,329,443,360,
353,TEST,images/286_a_fo_lushcave.png,IRON,640,360,10,1,240,150,
354,TEST,images/286_a_fo_lushcave.png,GOLD,640,360,406,324,471,360,
355,TEST,images/286_a_fo_lushcave.png,REDSTONE,640,360,390,197,407,205,
356,TRAIN,images/287_a_c_water.png,COAL,640,360,141,95,330,321,
357,TEST,images/288_a_l_unknown.png,LAPIS,640,360,263,167,320,226,
358,TRAIN,images/289_a_d_unknown.png,DIAMOND,640,360,138,9,202,61,
359,TRAIN,images/28_a_u_mineshaft.png,COPPER,640,360,288,215,376,294,
360,TRAIN,images/290_a_c_mountain.png,COAL,640,360,321,31,377,92,
361,TRAIN,images/290_a_c_mountain.png,COAL,640,360,244,112,328,196,
362,TRAIN,images/291_a_co_mesa.png,GOLD,640,360,144,146,228,218,
363,TRAIN,images/291_a_co_mesa.png,COAL,640,360,324,232,376,290,
364,TRAIN,images/292_a_l_mineshaft.png,LAPIS,640,360,1,1,245,308,
365,TRAIN,images/293_a_cuo_mesa.png,COAL,640,360,215,269,233,292,
366,TRAIN,images/293_a_cuo_mesa.png,COPPER,640,360,9,241,63,291,
367,TRAIN,images/293_a_cuo_mesa.png,GOLD,640,360,306,94,354,122,
368,TEST,images/294_a_c_unknown.png,COAL,640,360,278,245,312,274,
369,TRAIN,images/295_a_c_water.png,COAL,640,360,232,235,342,354,
370,TRAIN,images/295_a_c_water.png,IRON,640,360,344,180,490,360,
371,TEST,images/296_a_f_mountain.png,IRON,640,360,189,39,267,123,
372,VAL,images/297_a_cu_mesa.png,COPPER,640,360,437,57,549,143,
373,VAL,images/297_a_cu_mesa.png,COPPER,640,360,289,154,528,309,
374,VAL,images/297_a_cu_mesa.png,COAL,640,360,116,138,162,159,
375,VAL,images/297_a_cu_mesa.png,COAL,640,360,1,187,71,223,
376,VAL,images/297_a_cu_mesa.png,COAL,640,360,19,203,192,360,
377,TRAIN,images/298_a_c_unknown.png,COAL,640,360,284,144,302,158,
378,TEST,images/299_a_o_mesa.png,GOLD,640,360,269,245,390,316,
379,TRAIN,images/300_a_d_unknown.png,DIAMOND,640,360,254,216,331,305,
380,TEST,images/301_a_o_mesa.png,GOLD,640,360,292,169,432,276,
381,TEST,images/301_a_o_mesa.png,GOLD,640,360,558,138,637,169,
382,TEST,images/302_a_cu_dripstone.png,COAL,640,360,206,72,275,120,
383,TEST,images/302_a_cu_dripstone.png,COPPER,640,360,206,2,301,54,
384,TEST,images/302_a_cu_dripstone.png,COPPER,640,360,257,52,309,92,
385,TEST,images/302_a_cu_dripstone.png,COAL,640,360,392,226,412,252,
386,TEST,images/302_a_cu_dripstone.png,COAL,640,360,421,201,439,272,
387,VAL,images/303_a_do_unknown.png,DIAMOND,640,360,229,226,352,352,
388,VAL,images/303_a_do_unknown.png,GOLD,640,360,179,183,251,222,
389,VAL,images/303_a_do_unknown.png,GOLD,640,360,334,140,368,151,
390,TEST,images/304_a_c_unknown.png,COAL,640,360,188,111,448,296,
391,TRAIN,images/305_a_d_unknown.png,DIAMOND,640,360,224,148,399,268,
392,VAL,images/306_a_f_unknown.png,IRON,640,360,233,125,385,294,
393,TRAIN,images/307_a_r_unknown.png,REDSTONE,640,360,204,124,426,253,
394,TRAIN,images/30_a_f_unknown.png,IRON,640,360,204,100,445,329,
395,VAL,images/315_a_u_unknown.png,COPPER,640,360,295,81,335,116,
396,TRAIN,images/316_a_c_mountain.png,COAL,640,360,353,108,410,172,
397,TRAIN,images/317_a_c_mountain.png,COAL,640,360,323,62,339,78,
398,TEST,images/319_a_e_mountain.png,EMERALD,640,360,377,111,402,178,
399,VAL,images/31_a_cu_unknown.png,COAL,640,360,325,176,342,191,
400,VAL,images/31_a_cu_unknown.png,COPPER,640,360,402,230,422,252,
401,VAL,images/31_a_cu_unknown.png,COPPER,640,360,437,234,471,275,
402,VAL,images/31_a_cu_unknown.png,COPPER,640,360,293,285,307,316,
403,VAL,images/31_a_cu_unknown.png,COAL,640,360,333,310,341,332,
404,VAL,images/31_a_cu_unknown.png,COPPER,640,360,344,315,359,329,
405,VAL,images/31_a_cu_unknown.png,COAL,640,360,333,232,345,247,
406,TRAIN,images/320_a_c_mountain.png,COAL,640,360,273,135,317,177,
407,TRAIN,images/321_a_c_dripstone.png,COAL,640,360,57,28,86,63,
408,TRAIN,images/321_a_c_dripstone.png,COAL,640,360,96,17,125,81,
409,TRAIN,images/321_a_c_dripstone.png,COAL,640,360,406,113,499,177,
410,TRAIN,images/322_a_cu_unknown.png,COAL,640,360,105,196,159,239,
411,TRAIN,images/322_a_cu_unknown.png,COAL,640,360,17,269,137,320,
412,TRAIN,images/322_a_cu_unknown.png,COPPER,640,360,392,194,429,217,
413,TRAIN,images/322_a_cu_unknown.png,COPPER,640,360,453,194,499,222,
414,TRAIN,images/322_a_cu_unknown.png,COPPER,640,360,423,64,481,99,
415,TRAIN,images/322_a_cu_unknown.png,COPPER,640,360,254,69,291,122,
416,TRAIN,images/323_a_f_dripstone.png,IRON,640,360,380,189,444,231,
417,TRAIN,images/325_a_u_dripstone.png,COPPER,640,360,197,150,350,269,
418,TRAIN,images/326_a_l_dripstone.png,LAPIS,640,360,102,163,246,220,
419,TRAIN,images/327_a_ur_dripstone.png,REDSTONE,640,360,73,183,192,254,
420,TRAIN,images/327_a_ur_dripstone.png,COPPER,640,360,196,14,230,39,
421,TRAIN,images/328_a_fu_dripstone.png,COPPER,640,360,46,77,190,141,
422,TRAIN,images/328_a_fu_dripstone.png,COPPER,640,360,14,266,88,336,
423,TRAIN,images/328_a_fu_dripstone.png,IRON,640,360,446,62,540,144,
424,VAL,images/329_a_fl_dripstone.png,LAPIS,640,360,226,113,254,140,
425,VAL,images/329_a_fl_dripstone.png,IRON,640,360,193,243,219,284,
426,TRAIN,images/32_a_u_unknown.png,COPPER,640,360,430,126,451,146,
427,TRAIN,images/32_a_u_unknown.png,COPPER,640,360,393,219,439,250,
428,TRAIN,images/330_a_fo_unknown.png,IRON,640,360,326,135,414,179,
429,TRAIN,images/330_a_fo_unknown.png,GOLD,640,360,324,57,368,99,
430,TRAIN,images/330_a_fo_unknown.png,IRON,640,360,474,62,542,109,
431,TEST,images/331_a_d_dripstone.png,DIAMOND,640,360,169,68,279,152,
432,TEST,images/332_a_l_mineshaft.png,LAPIS,640,360,291,106,370,183,
433,VAL,images/333_a_d_dripstone.png,DIAMOND,640,360,50,69,233,179,
434,TRAIN,images/335_a_o_unknown.png,GOLD,640,360,57,52,253,216,
435,VAL,images/336_a_r_dripstone.png,REDSTONE,640,360,257,1,393,133,
436,VAL,images/336_a_r_dripstone.png,REDSTONE,640,360,188,280,231,327,
437,VAL,images/338_a_odr_unknown.png,GOLD,640,360,317,143,383,218,
438,VAL,images/338_a_odr_unknown.png,DIAMOND,640,360,47,22,76,45,
439,VAL,images/338_a_odr_unknown.png,REDSTONE,640,360,129,40,149,59,
440,TRAIN,images/339_a_ord_unknown.png,DIAMOND,640,360,46,20,75,42,
441,TRAIN,images/339_a_ord_unknown.png,REDSTONE,640,360,131,39,148,57,
442,TRAIN,images/339_a_ord_unknown.png,GOLD,640,360,317,142,381,214,
443,TRAIN,images/33_a_uol_unknown.png,LAPIS,640,360,415,140,477,173,
444,TRAIN,images/33_a_uol_unknown.png,GOLD,640,360,190,72,202,96,
445,TRAIN,images/33_a_uol_unknown.png,COPPER,640,360,234,258,271,288,
446,TRAIN,images/340_a_fd_dripstone.png,IRON,640,360,2,183,110,279,
447,TRAIN,images/340_a_fd_dripstone.png,IRON,640,360,176,191,220,228,
448,TRAIN,images/340_a_fd_dripstone.png,IRON,640,360,253,212,300,259,
449,TRAIN,images/340_a_fd_dripstone.png,DIAMOND,640,360,388,93,403,109,
450,TRAIN,images/341_a_d_dripstone.png,DIAMOND,640,360,266,90,374,190,
451,TRAIN,images/342_a_dr_unknown.png,DIAMOND,640,360,191,1,313,106,
452,TRAIN,images/342_a_dr_unknown.png,REDSTONE,640,360,270,224,383,291,
453,TEST,images/344_a_f_mineshaft.png,IRON,640,360,227,140,355,222,
454,VAL,images/345_a_fd_mineshaft.png,DIAMOND,640,360,281,32,390,178,
455,VAL,images/345_a_fd_mineshaft.png,IRON,640,360,90,1,166,51,
456,VAL,images/345_a_fd_mineshaft.png,IRON,640,360,219,117,258,132,
457,TEST,images/346_a_f_unknown.png,IRON,640,360,250,117,425,198,
458,TEST,images/346_a_f_unknown.png,IRON,640,360,187,202,340,326,
459,TEST,images/347_a_ol_dripstone.png,GOLD,640,360,237,17,352,229,
460,TRAIN,images/348_a_d_unknown.png,DIAMOND,640,360,129,134,214,202,
461,TRAIN,images/349_a_ul_dripstone.png,COPPER,640,360,188,54,376,175,
462,TRAIN,images/349_a_ul_dripstone.png,COPPER,640,360,311,165,437,272,
463,TRAIN,images/349_a_ul_dripstone.png,LAPIS,640,360,193,183,312,226,
464,TRAIN,images/34_a_fu_unknown.png,IRON,640,360,146,54,179,92,
465,TRAIN,images/34_a_fu_unknown.png,COPPER,640,360,248,234,262,257,
466,VAL,images/351_a_c_mountain.png,COAL,640,360,364,112,411,160,
467,TRAIN,images/352_a_c_mountain.png,COAL,640,360,23,190,190,317,
468,TEST,images/353_a_c_water.png,COAL,640,360,160,98,219,165,
469,TRAIN,images/354_a_u_unknown.png,COPPER,640,360,182,16,274,102,
470,TEST,images/356_a_or_lava.png,REDSTONE,640,360,267,108,313,146,
471,TEST,images/356_a_or_lava.png,GOLD,640,360,272,143,321,177,
472,TEST,images/358_a_r_lava.png,REDSTONE,640,360,57,123,227,299,
473,TEST,images/358_a_r_lava.png,REDSTONE,640,360,458,78,479,88,
474,TRAIN,images/359_a_f_lava.png,IRON,640,360,158,65,290,135,
475,TRAIN,images/35_a_c_unknown.png,COAL,640,360,261,152,274,168,
476,TEST,images/360_a_o_unknown.png,GOLD,640,360,306,65,432,162,
477,VAL,images/361_a_d_lava.png,DIAMOND,640,360,49,131,149,179,
478,VAL,images/361_a_d_lava.png,DIAMOND,640,360,362,112,505,185,
479,TRAIN,images/362_a_r_lava.png,REDSTONE,640,360,272,90,319,154,
480,TRAIN,images/362_a_r_lava.png,REDSTONE,640,360,354,139,457,193,
481,TRAIN,images/363_a_r_unknown.png,REDSTONE,640,360,219,133,400,239,
482,TRAIN,images/364_a_d_unknown.png,DIAMOND,640,360,226,118,318,185,
483,VAL,images/365_a_c_mountain.png,COAL,640,360,266,103,407,199,
484,TRAIN,images/366_a_u_lava.png,COPPER,640,360,351,163,449,324,
485,TRAIN,images/367_a_e_mountain.png,EMERALD,640,360,153,82,251,165,
486,TEST,images/368_a_e_unknown.png,EMERALD,640,360,198,86,376,228,
487,TEST,images/369_a_o_unknown.png,GOLD,640,360,301,81,357,237,
488,TRAIN,images/371_a_q_fortress.png,QUARTZ,640,360,302,148,329,193,
489,TEST,images/372_a_q_fortress.png,QUARTZ,640,360,267,106,387,262,
490,TRAIN,images/373_a_o_fortress.png,NETHERGOLD,640,360,277,166,295,200,
491,TRAIN,images/375_a_q_fortress.png,QUARTZ,640,360,350,127,406,182,
492,VAL,images/377_a_q_fortress.png,QUARTZ,640,360,284,160,358,188,
493,VAL,images/377_a_q_fortress.png,QUARTZ,640,360,233,45,295,88,
494,TRAIN,images/378_a_qo_fortress.png,QUARTZ,640,360,236,235,257,258,
495,TRAIN,images/378_a_qo_fortress.png,QUARTZ,640,360,82,2,456,140,
496,TRAIN,images/378_a_qo_fortress.png,NETHERGOLD,640,360,307,50,640,214,
497,TRAIN,images/379_a_q_fortress.png,QUARTZ,640,360,223,65,438,140,
498,VAL,images/37_a_c_unknown.png,COAL,640,360,91,1,617,342,
499,TEST,images/380_a_qo_crimson.png,QUARTZ,640,360,101,113,186,136,
500,TEST,images/380_a_qo_crimson.png,NETHERGOLD,640,360,279,153,614,286,
501,TRAIN,images/382_a_o_crimson.png,NETHERGOLD,640,360,200,225,215,240,
502,TRAIN,images/382_a_o_crimson.png,NETHERGOLD,640,360,326,123,362,157,
503,TRAIN,images/383_a_q_crimson.png,QUARTZ,640,360,268,209,324,241,
504,TRAIN,images/384_a_q_crimson.png,QUARTZ,640,360,312,88,330,130,
505,TRAIN,images/384_a_q_crimson.png,QUARTZ,640,360,306,294,338,310,
506,TRAIN,images/386_a_qo_crimson.png,NETHERGOLD,640,360,264,128,289,163,
507,TEST,images/387_a_q_warped.png,QUARTZ,640,360,297,192,327,210,
508,TEST,images/38_a_l_mineshaft.png,LAPIS,640,360,365,122,468,149,
509,TEST,images/38_a_l_mineshaft.png,LAPIS,640,360,260,137,375,185,
510,TRAIN,images/391_a_o_bastion.png,NETHERGOLD,640,360,315,141,364,175,
511,VAL,images/393_a_q_bastion.png,QUARTZ,640,360,210,199,294,273,
512,TRAIN,images/394_a_o_bastion.png,NETHERGOLD,640,360,315,191,355,223,
513,TEST,images/395_a_q_nether.png,QUARTZ,640,360,287,134,409,257,
514,TRAIN,images/399_a_qo_warped.png,NETHERGOLD,640,360,312,209,370,243,
515,TRAIN,images/399_a_qo_warped.png,QUARTZ,640,360,502,204,544,240,
516,TRAIN,images/39_a_l_unknown.png,LAPIS,640,360,302,190,360,251,
517,VAL,images/400_a_q_warped.png,QUARTZ,640,360,287,120,327,169,
518,TRAIN,images/401_a_q_warped.png,QUARTZ,640,360,242,238,367,341,
519,TRAIN,images/402_a_qo_warped.png,NETHERGOLD,640,360,24,114,169,250,
520,TRAIN,images/402_a_qo_warped.png,QUARTZ,640,360,315,159,329,173,
521,VAL,images/403_a_q_warped.png,QUARTZ,640,360,356,140,447,203,
522,VAL,images/403_a_q_warped.png,QUARTZ,640,360,138,2,182,68,
523,VAL,images/405_a_qo_fortress.png,QUARTZ,640,360,400,176,471,258,
524,VAL,images/405_a_qo_fortress.png,QUARTZ,640,360,224,98,263,154,
525,VAL,images/405_a_qo_fortress.png,QUARTZ,640,360,284,25,298,56,
526,VAL,images/405_a_qo_fortress.png,NETHERGOLD,640,360,242,149,274,191,
527,TEST,images/408_a_qo_fortress.png,QUARTZ,640,360,270,246,295,283,
528,TEST,images/408_a_qo_fortress.png,NETHERGOLD,640,360,382,119,442,153,
529,TRAIN,images/409_a_q_fortress.png,QUARTZ,640,360,224,224,388,312,
530,VAL,images/40_a_u_unknown.png,COPPER,640,360,314,226,459,305,
531,TEST,images/410_a_o_fortress.png,NETHERGOLD,640,360,294,205,418,296,
532,TEST,images/411_a_a_nether.png,DEBRIS,640,360,238,124,375,253,
533,TRAIN,images/412_a_a_nether.png,DEBRIS,640,360,349,158,389,195,
534,TRAIN,images/413_a_qa_nether.png,QUARTZ,640,360,211,162,245,189,
535,TRAIN,images/413_a_qa_nether.png,DEBRIS,640,360,392,246,431,275,
536,TEST,images/414_a_qao_nether.png,DEBRIS,640,360,150,214,208,267,
537,TEST,images/414_a_qao_nether.png,GOLD,640,360,248,46,292,86,
538,TEST,images/414_a_qao_nether.png,QUARTZ,640,360,320,72,399,112,
539,TEST,images/414_a_qao_nether.png,QUARTZ,640,360,484,74,524,92,
540,TRAIN,images/415_a_oa_nether.png,GOLD,640,360,292,60,316,88,
541,TRAIN,images/415_a_oa_nether.png,DEBRIS,640,360,298,236,359,297,
542,TRAIN,images/416_qo_nether.png,QUARTZ,640,360,235,185,284,221,
543,TRAIN,images/416_qo_nether.png,QUARTZ,640,360,200,182,237,205,
544,TRAIN,images/416_qo_nether.png,NETHERGOLD,640,360,447,58,583,171,
545,TRAIN,images/417_q_basalt.png,QUARTZ,640,360,295,198,375,307,
546,TRAIN,images/418_a_qo_nether.png,QUARTZ,640,360,421,117,467,156,
547,TRAIN,images/418_a_qo_nether.png,QUARTZ,640,360,301,179,318,192,
548,TRAIN,images/418_a_qo_nether.png,NETHERGOLD,640,360,199,219,279,268,
549,VAL,images/419_a_o_nether.png,NETHERGOLD,640,360,270,145,375,182,
550,TEST,images/420_a_o_basalt.png,NETHERGOLD,640,360,116,290,144,320,
551,TRAIN,images/422_a_q_basalt.png,QUARTZ,640,360,192,7,469,255,
552,TEST,images/423_a_o_nether.png,NETHERGOLD,640,360,378,152,426,213,
553,TRAIN,images/424_a_o_nether.png,NETHERGOLD,640,360,358,127,460,202,
554,TRAIN,images/425_a_q_nether.png,QUARTZ,640,360,257,71,289,111,
555,TRAIN,images/425_a_q_nether.png,QUARTZ,640,360,368,155,436,206,
556,TEST,images/426_a_q_nether.png,QUARTZ,640,360,246,247,318,324,
557,VAL,images/427_a_qo_nether.png,NETHERGOLD,640,360,239,80,260,105,
558,VAL,images/427_a_qo_nether.png,QUARTZ,640,360,334,229,518,360,
559,VAL,images/427_a_qo_nether.png,QUARTZ,640,360,23,66,67,94,
560,TRAIN,images/428_qo_nether.png,QUARTZ,640,360,306,17,402,89,
561,TRAIN,images/428_qo_nether.png,QUARTZ,640,360,400,237,463,274,
562,TRAIN,images/428_qo_nether.png,QUARTZ,640,360,170,226,216,248,
563,TRAIN,images/428_qo_nether.png,NETHERGOLD,640,360,78,145,100,163,
564,VAL,images/429_a_lr_unknown.png,LAPIS,640,360,288,196,322,215,
565,VAL,images/429_a_lr_unknown.png,REDSTONE,640,360,303,125,316,137,
566,TRAIN,images/42_a_r_mineshaft.png,REDSTONE,640,360,220,186,270,197,
567,VAL,images/430_a_lrd_water.png,LAPIS,640,360,323,126,357,144,
568,VAL,images/430_a_lrd_water.png,REDSTONE,640,360,403,34,420,55,
569,VAL,images/430_a_lrd_water.png,DIAMOND,640,360,171,71,188,86,
570,TRAIN,images/431_a_l_unknown.png,LAPIS,640,360,199,209,239,232,
571,TRAIN,images/431_a_l_unknown.png,COPPER,640,360,437,16,510,54,
572,VAL,images/432_a_l_unknown.png,LAPIS,640,360,219,108,288,165,
573,VAL,images/432_a_l_unknown.png,COPPER,640,360,345,137,399,185,
574,TRAIN,images/433_a_lu_unknown.png,LAPIS,640,360,144,149,248,206,
575,TRAIN,images/433_a_lu_unknown.png,COPPER,640,360,384,69,614,186,
576,TRAIN,images/434_a_lo_unknown.png,LAPIS,640,360,239,77,322,168,
577,TRAIN,images/434_a_lo_unknown.png,IRON,640,360,357,122,405,171,
578,TRAIN,images/435_a_lf_unknown.png,IRON,640,360,298,97,513,211,
579,TRAIN,images/435_a_lf_unknown.png,LAPIS,640,360,240,149,316,222,
580,TRAIN,images/436_a_cl_unknown.png,LAPIS,640,360,125,112,237,196,
581,TRAIN,images/436_a_cl_unknown.png,COAL,640,360,280,189,319,250,
582,TRAIN,images/436_a_cl_unknown.png,COAL,640,360,463,232,500,268,
583,TRAIN,images/437_cl_unknown.png,LAPIS,640,360,281,159,326,206,
584,TRAIN,images/437_cl_unknown.png,COAL,640,360,346,203,368,248,
585,TEST,images/438_a_l_water.png,LAPIS,640,360,158,118,274,178,
586,TRAIN,images/439_a_l_water.png,LAPIS,640,360,286,151,345,196,
587,TRAIN,images/43_a_o_unknown.png,GOLD,640,360,111,108,219,207,
588,TRAIN,images/43_a_o_unknown.png,GOLD,640,360,333,25,385,123,
589,TRAIN,images/440_a_l_water.png,LAPIS,640,360,253,157,359,246,
590,TRAIN,images/441_a_e_unknown.png,EMERALD,640,360,374,86,449,143,
591,TRAIN,images/442_a_ef_unknown.png,IRON,640,360,289,108,405,227,
592,TRAIN,images/442_a_ef_unknown.png,EMERALD,640,360,212,206,276,265,
593,TRAIN,images/442_a_ef_unknown.png,EMERALD,640,360,274,1,417,108,
594,TRAIN,images/443_a_ce_unknown.png,EMERALD,640,360,194,168,273,219,
595,TRAIN,images/443_a_ce_unknown.png,COAL,640,360,245,119,459,337,
596,TEST,images/444_a_e_dripstone.png,EMERALD,640,360,186,19,245,84,
597,VAL,images/445_a_ufeo_unknown.png,COPPER,640,360,300,226,376,265,
598,VAL,images/445_a_ufeo_unknown.png,IRON,640,360,285,152,341,208,
599,VAL,images/445_a_ufeo_unknown.png,EMERALD,640,360,394,144,419,160,
600,VAL,images/445_a_ufeo_unknown.png,GOLD,640,360,145,82,214,116,
601,TRAIN,images/446_a_e_unknown.png,EMERALD,640,360,306,94,342,139,
602,TRAIN,images/447_a_efc_unknown.png,IRON,640,360,251,214,313,282,
603,TRAIN,images/447_a_efc_unknown.png,COAL,640,360,337,189,377,226,
604,TRAIN,images/447_a_efc_unknown.png,COAL,640,360,404,162,448,190,
605,TRAIN,images/447_a_efc_unknown.png,EMERALD,640,360,277,115,351,164,
606,TRAIN,images/448_a_cue_unknown.png,COAL,640,360,360,96,422,143,
607,TRAIN,images/448_a_cue_unknown.png,EMERALD,640,360,223,168,279,224,
608,TRAIN,images/448_a_cue_unknown.png,COPPER,640,360,248,117,280,142,
609,TRAIN,images/449_a_e_unknown.png,EMERALD,640,360,394,129,471,184,
610,TRAIN,images/44_a_fu_unknown.png,IRON,640,360,158,246,387,360,
611,TRAIN,images/44_a_fu_unknown.png,COPPER,640,360,368,100,380,126,
612,TEST,images/450_a_e_unknown.png,EMERALD,640,360,302,114,345,171,
613,TRAIN,images/451_a_ec_unknown.png,EMERALD,640,360,297,153,343,194,
614,TRAIN,images/451_a_ec_unknown.png,COAL,640,360,217,28,293,89,
615,TRAIN,images/452_a_e_unknown.png,EMERALD,640,360,362,201,411,227,
616,TEST,images/453_a_e_unknown.png,EMERALD,640,360,340,166,391,201,
617,TRAIN,images/454_a_q_soulsand.png,QUARTZ,640,360,296,102,322,140,
618,TRAIN,images/454_a_q_soulsand.png,QUARTZ,640,360,371,189,388,209,
619,TRAIN,images/455_a_n_crimson.png,NETHERGOLD,640,360,214,74,253,112,
620,TRAIN,images/455_a_n_crimson.png,NETHERGOLD,640,360,468,217,508,245,
621,TRAIN,images/456_a_qn_soulsand.png,QUARTZ,640,360,223,227,252,256,
622,TRAIN,images/456_a_qn_soulsand.png,NETHERGOLD,640,360,378,43,408,75,
623,TEST,images/457_a_q_soulsand.png,QUARTZ,640,360,251,153,302,190,
624,TRAIN,images/458_a_n_soulsand.png,NETHERGOLD,640,360,385,151,403,165,
625,TRAIN,images/459_a_qn_crimson.png,NETHERGOLD,640,360,286,122,334,162,
626,TRAIN,images/459_a_qn_crimson.png,QUARTZ,640,360,349,145,411,192,
627,TRAIN,images/45_a_o_mineshaft.png,GOLD,640,360,234,259,280,349,
628,VAL,images/460_a_qn_crimson.png,QUARTZ,640,360,301,92,337,133,
629,VAL,images/460_a_qn_crimson.png,QUARTZ,640,360,346,229,380,251,
630,VAL,images/460_a_qn_crimson.png,QUARTZ,640,360,531,272,582,295,
631,TEST,images/461_a_q_crimson.png,QUARTZ,640,360,255,168,318,205,
632,TEST,images/461_a_q_crimson.png,QUARTZ,640,360,391,165,419,197,
633,TRAIN,images/464_a_qn_nether.png,QUARTZ,640,360,212,147,253,174,
634,TRAIN,images/464_a_qn_nether.png,NETHERGOLD,640,360,384,174,404,207,
635,TRAIN,images/464_a_qn_nether.png,NETHERGOLD,640,360,497,206,519,226,
636,TRAIN,images/465_a_nq_nether.png,NETHERGOLD,640,360,208,175,247,206,
637,TRAIN,images/465_a_nq_nether.png,QUARTZ,640,360,55,123,79,137,
638,TRAIN,images/465_a_nq_nether.png,NETHERGOLD,640,360,539,216,582,252,
639,TRAIN,images/466_a_qn_nether.png,QUARTZ,640,360,374,58,438,74,
640,TRAIN,images/466_a_qn_nether.png,QUARTZ,640,360,291,91,324,114,
641,TRAIN,images/466_a_qn_nether.png,NETHERGOLD,640,360,310,237,343,257,
642,TRAIN,images/466_a_qn_nether.png,QUARTZ,640,360,66,294,131,342,
643,TRAIN,images/467_a_n_warped.png,NETHERGOLD,640,360,255,188,265,207,
644,TRAIN,images/467_a_n_warped.png,QUARTZ,640,360,300,162,315,180,
645,TRAIN,images/467_a_n_warped.png,QUARTZ,640,360,384,158,408,168,
646,TRAIN,images/467_a_n_warped.png,NETHERGOLD,640,360,494,185,514,194,
647,TRAIN,images/467_a_n_warped.png,QUARTZ,640,360,174,210,193,217,
648,TEST,images/468_a_q_warped.png,QUARTZ,640,360,265,91,306,138,
649,TRAIN,images/469_a_q_warped.png,QUARTZ,640,360,299,129,346,148,
650,TRAIN,images/46_a_f_unknown.png,IRON,640,360,229,61,386,226,
651,TRAIN,images/470_a_qn_warped.png,QUARTZ,640,360,255,28,291,68,
652,TRAIN,images/470_a_qn_warped.png,QUARTZ,640,360,220,108,235,133,
653,TRAIN,images/470_a_qn_warped.png,NETHERGOLD,640,360,282,148,323,168,
654,TRAIN,images/470_a_qn_warped.png,QUARTZ,640,360,282,303,300,325,
655,TRAIN,images/470_a_qn_warped.png,QUARTZ,640,360,404,214,419,224,
656,TRAIN,images/472_a_q_warped.png,QUARTZ,640,360,299,206,356,237,
657,TRAIN,images/473_a_q_basalt.png,QUARTZ,640,360,281,123,293,135,
658,VAL,images/474_a_q_basalt.png,QUARTZ,640,360,406,107,424,131,
659,VAL,images/476_a_q_nether.png,QUARTZ,640,360,355,160,373,177,
660,VAL,images/476_a_q_nether.png,QUARTZ,640,360,235,139,251,161,
661,VAL,images/476_a_q_nether.png,QUARTZ,640,360,523,322,578,340,
662,VAL,images/477_a_qn_nether.png,NETHERGOLD,640,360,313,142,454,232,
663,VAL,images/477_a_qn_nether.png,QUARTZ,640,360,220,61,242,89,
664,VAL,images/477_a_qn_nether.png,QUARTZ,640,360,488,30,548,55,
665,TRAIN,images/478_a_qn_nether.png,QUARTZ,640,360,272,57,314,71,
666,TRAIN,images/478_a_qn_nether.png,QUARTZ,640,360,365,87,386,110,
667,TRAIN,images/478_a_qn_nether.png,NETHERGOLD,640,360,408,174,439,183,
668,TRAIN,images/47_a_f_unknown.png,IRON,640,360,72,94,341,341,
669,TRAIN,images/480_a_q_nether.png,QUARTZ,640,360,456,74,534,114,
670,TRAIN,images/480_a_q_nether.png,QUARTZ,640,360,17,192,58,212,
671,TRAIN,images/480_a_q_nether.png,NETHERGOLD,640,360,294,226,303,240,
672,TRAIN,images/480_a_q_nether.png,NETHERGOLD,640,360,274,248,283,260,
673,TRAIN,images/480_a_q_nether.png,QUARTZ,640,360,75,92,99,105,
674,VAL,images/481_a_q_nether.png,QUARTZ,640,360,502,49,593,113,
675,VAL,images/481_a_q_nether.png,QUARTZ,640,360,98,161,125,176,
676,VAL,images/481_a_q_nether.png,NETHERGOLD,640,360,190,76,201,87,
677,VAL,images/481_a_q_nether.png,NETHERGOLD,640,360,257,82,271,92,
678,VAL,images/481_a_q_nether.png,QUARTZ,640,360,276,18,303,37,
679,VAL,images/481_a_q_nether.png,QUARTZ,640,360,423,2,445,17,
680,VAL,images/481_a_q_nether.png,QUARTZ,640,360,166,1,200,20,
681,TEST,images/482_a_n_nether.png,NETHERGOLD,640,360,125,19,178,49,
682,TEST,images/482_a_n_nether.png,NETHERGOLD,640,360,228,147,263,157,
683,TEST,images/482_a_n_nether.png,QUARTZ,640,360,110,119,161,138,
684,VAL,images/483_a_q_soulsand.png,QUARTZ,640,360,329,130,362,143,
685,TRAIN,images/488_a_q_basalt.png,QUARTZ,640,360,266,168,348,212,
686,TEST,images/489_a_qn_basalt.png,QUARTZ,640,360,163,132,263,242,
687,TEST,images/489_a_qn_basalt.png,NETHERGOLD,640,360,375,169,403,191,
688,TEST,images/489_a_qn_basalt.png,NETHERGOLD,640,360,485,62,530,109,
689,TEST,images/489_a_qn_basalt.png,QUARTZ,640,360,478,165,519,184,
690,TRAIN,images/490_a_fle_water.png,EMERALD,640,360,398,122,423,151,
691,TRAIN,images/490_a_fle_water.png,EMERALD,640,360,460,23,537,96,
692,TRAIN,images/490_a_fle_water.png,IRON,640,360,114,70,148,84,
693,TRAIN,images/490_a_fle_water.png,LAPIS,640,360,271,239,334,299,
